target_id,target_type,target_speed,first_detection_time,assignment_delay,search_success,search_duration_s,tracking_duration_s,loss_events,reacquisition_events,tracking_accuracy,avg_localization_error,assigned_uav,final_status
0,static,0.0,6.799999999999992,0.0,True,0.09999999999999964,10.09999999999998,0,0,0.6,0.0,9,completed
1,static,0.0,174.49999999999437,0.0,True,0.09999999999999432,10.099999999999426,0,0,1.0,0.0,8,completed
2,static,0.0,,,False,0.0,0.0,0,0,0.0,0.0,,undiscovered
3,static,0.0,35.00000000000023,0.0,True,0.10000000000000142,10.000000000000142,0,0,1.0,0.0,5,completed
4,static,0.0,163.299999999995,0.0,True,0.09999999999999432,10.099999999999426,0,0,1.0,0.0,1,completed
5,static,0.0,264.3999999999916,0.0,True,0.10000000000002274,10.000000000002274,0,0,1.0,0.0,0,completed
6,static,0.0,,,False,0.0,0.0,0,0,0.0,0.0,,undiscovered
7,static,0.0,4.000000000000002,0.0,True,0.09999999999999964,10.099999999999964,0,0,1.0,0.0,7,completed
