target_id,target_type,target_speed,first_detection_time,assignment_delay,search_success,search_duration_s,tracking_duration_s,loss_events,reacquisition_events,tracking_accuracy,avg_localization_error,assigned_uav,final_status
0,dynamic,1.0717,134.09999999999667,0.0,True,1.6999999999999034,4.299999999999756,1,0,0.06666666666666667,0.0,8,lost
1,dynamic,1.0522,155.49999999999545,0.0,True,0.09999999999999432,17.099999999999028,1,1,0.125,0.0,3,completed
2,dynamic,0.9742,67.90000000000042,0.0,True,0.09999999999999432,10.099999999999426,0,0,0.8,0.0,6,completed
3,dynamic,0.9887,,,False,0.0,0.0,0,0,0.0,0.0,,undiscovered
4,random_walk,1.0655,94.5999999999989,0.0,True,0.09999999999999432,10.099999999999426,0,0,1.0,0.0,6,completed
5,random_walk,1.0557,171.69999999999453,0.0,True,0.09999999999999432,10.099999999999426,0,0,1.0,0.0,0,completed
6,waypoint_patrol,0.9309,76.39999999999993,0.0,True,0.09999999999999432,10.099999999999426,0,0,0.9,0.0,2,completed
7,waypoint_patrol,1.034,57.400000000000546,0.0,True,0.10000000000000142,10.099999999999888,0,0,1.0,0.0,7,completed
