label,num_uavs,seed,final_coverage,time_to_70,time_to_85,path_distance_total,trajectory_efficiency,mission_overlap_final,travel_time_fraction,exploration_time_fraction
n10,10,42,0.6067548417572036,,,1715.6715774835507,3.5365442297945924,0.7333333333333333,0.7808492922564523,0.21915070774354772
n10,10,43,0.5979745642958079,,,1773.0285904665263,3.3726165923724127,0.6,0.7803497085761858,0.2196502914238142
n10,10,44,0.5327849588719153,,,1757.8462519449483,3.030896236132265,0.6666666666666666,0.7826810990840964,0.21731890091590356
n10,10,45,0.5426229508196722,,,1773.9279320750895,3.058878216010317,0.5777777777777777,0.7816819317235634,0.21831806827643663
n10,10,46,0.5258315640481246,,,1772.8003296851732,2.9661070975855783,0.7333333333333333,0.782348043297252,0.21765195670274795
n20,20,42,0.7364194615021257,99.39999999999863,,3514.5936718204625,2.0953189195286996,0.6421052631578947,0.7832223147377189,0.21677768526228114
n20,20,43,0.6161092793217146,,,3517.592511555232,1.7515083890411012,0.5368421052631579,0.7830141548709411,0.21698584512905894
n20,20,44,0.7828437132784959,81.79999999999963,,3540.195485771226,2.211300806480619,0.7,0.7821815154038307,0.21781848459616926
n20,20,45,0.7398126463700234,110.79999999999798,,3540.766137017044,2.0894140356676774,0.6263157894736842,0.7831806827643631,0.21681931723563685
n20,20,46,0.8086812927577259,78.6999999999998,,3543.941624564709,2.2818696762733883,0.7,0.7819317235636974,0.21806827643630255
n30,30,42,0.7418516769012754,95.89999999999883,,5233.533281468078,1.4174968171658897,0.7057471264367816,0.7827643630308082,0.2172356369691918
n30,30,43,0.6589731512011304,,,5206.699264144878,1.2656255292850238,0.6735632183908046,0.7830419095198451,0.2169580904801549
n30,30,44,0.8296122209165687,78.39999999999982,,5311.646401236971,1.5618739619477862,0.6804597701149425,0.782792117679712,0.21720788232028798
n30,30,45,0.8,102.49999999999845,,5273.686971679916,1.5169652736236687,0.6988505747126437,0.783485983902304,0.21651401609769605
n30,30,46,0.6744515215852795,,,5254.518045511042,1.2835649544708796,0.6298850574712643,0.7835137385512075,0.21648626144879246
