time_s,coverage_pct
0.1,6.518658
0.2,6.660368
0.3,6.754842
0.4,6.872933
0.5,7.085498
0.6,7.250827
0.7,7.3453
0.8,7.48701
0.9,7.62872
1.0,7.675957
1.1,7.77043
1.2,7.982995
1.3,8.05385
1.4,8.124705
1.5,8.219178
1.6,8.408125
1.7,8.47898
1.8,8.573453
1.9,8.691545
2.0,8.786018
2.1,8.927728
2.2,9.093056
2.3,9.258385
2.4,9.329239
2.5,9.470949
2.6,9.541804
2.7,9.612659
2.8,9.659896
2.9,9.754369
3.0,9.896079
3.1,9.966934
3.2,10.014171
3.3,10.179499
3.4,10.297591
3.5,10.392064
3.6,10.462919
3.7,10.510156
3.8,10.557393
3.9,10.604629
4.0,10.699103
4.1,10.793576
4.2,10.888049
4.3,11.006141
4.4,11.124232
4.5,11.289561
4.6,11.360416
4.7,11.431271
4.8,11.478507
4.9,11.525744
5.0,11.549362
5.1,11.643836
5.2,11.667454
5.3,11.809164
5.4,11.832782
5.5,11.880019
5.6,11.974492
5.7,12.068966
5.8,12.116202
5.9,12.163439
6.0,12.187057
6.1,12.257912
6.2,12.328767
6.3,12.42324
6.4,12.470477
6.5,12.494095
6.6,12.612187
6.7,12.70666
6.8,12.801134
6.9,12.824752
7.0,12.895607
7.1,12.919225
7.2,12.99008
7.3,13.013699
7.4,13.108172
7.5,13.202645
7.6,13.297119
7.7,13.438829
7.8,13.55692
7.9,13.627775
8.0,13.651393
8.1,13.722248
8.2,13.769485
8.3,13.911195
8.4,14.029287
8.5,14.029287
8.6,14.052905
8.7,14.12376
8.8,14.26547
8.9,14.383562
9.0,14.40718
9.1,14.430798
9.2,14.54889
9.3,14.666982
9.4,14.761455
9.5,14.83231
9.6,14.855928
9.7,14.903165
9.8,14.97402
9.9,15.11573
10.0,15.233821
10.1,15.328295
10.2,15.470005
10.3,15.517241
10.4,15.635333
10.5,15.706188
10.6,15.777043
10.7,15.918753
10.8,15.989608
10.9,16.1077
11.0,16.202173
11.1,16.24941
11.2,16.273028
11.3,16.414738
11.4,16.485593
11.5,16.698158
11.6,16.769013
11.7,16.839868
11.8,16.863486
11.9,16.934341
12.0,17.005196
12.1,17.028814
12.2,17.146906
12.3,17.312234
12.4,17.406708
12.5,17.572036
12.6,17.642891
12.7,17.737364
12.8,17.831838
12.9,17.926311
13.0,17.997166
13.1,18.068021
13.2,18.162494
13.3,18.256967
13.4,18.304204
13.5,18.422296
13.6,18.445914
13.7,18.540387
13.8,18.634861
13.9,18.682097
14.0,18.729334
14.1,18.752952
14.2,18.800189
14.3,18.871044
14.4,18.894662
14.5,19.036372
14.6,19.083609
14.7,19.130846
14.8,19.201701
14.9,19.296174
15.0,19.461502
15.1,19.555975
15.2,19.62683
15.3,19.650449
15.4,19.674067
15.5,19.76854
15.6,19.792159
15.7,19.839395
15.8,19.957487
15.9,20.05196
16.0,20.122815
16.1,20.240907
16.2,20.33538
16.3,20.33538
16.4,20.382617
16.5,20.47709
16.6,20.595182
16.7,20.6188
16.8,20.642419
16.9,20.666037
17.0,20.736892
17.1,20.878602
17.2,20.949457
17.3,20.996693
17.4,21.020312
17.5,21.162022
17.6,21.232877
17.7,21.303732
17.8,21.350968
17.9,21.374587
18.0,21.445442
18.1,21.587152
18.2,21.705243
18.3,21.728862
18.4,21.75248
18.5,21.89419
18.6,21.941427
18.7,21.988663
18.8,21.988663
18.9,21.988663
19.0,22.106755
19.1,22.130373
19.2,22.224846
19.3,22.248465
19.4,22.272083
19.5,22.272083
19.6,22.342938
19.7,22.390175
19.8,22.413793
19.9,22.484648
20.0,22.555503
20.1,22.649976
20.2,22.697213
20.3,22.74445
20.4,22.815305
20.5,22.838923
20.6,22.933396
20.7,22.933396
20.8,22.957015
20.9,23.004251
21.0,23.051488
21.1,23.122343
21.2,23.16958
21.3,23.287671
21.4,23.31129
21.5,23.405763
21.6,23.429381
21.7,23.476618
21.8,23.571091
21.9,23.618328
22.0,23.641946
22.1,23.712801
22.2,23.736419
22.3,23.783656
22.4,23.830893
22.5,23.901748
22.6,23.925366
22.7,23.996221
22.8,24.019839
22.9,24.043458
23.0,24.043458
23.1,24.043458
23.2,24.043458
23.3,24.090694
23.4,24.114313
23.5,24.161549
23.6,24.232404
23.7,24.256023
23.8,24.256023
23.9,24.279641
24.0,24.326878
24.1,24.326878
24.2,24.350496
24.3,24.374114
24.4,24.421351
24.5,24.468588
24.6,24.515824
24.7,24.539443
24.8,24.563061
24.9,24.586679
25.0,24.633916
25.1,24.657534
25.2,24.657534
25.3,24.657534
25.4,24.657534
25.5,24.704771
25.6,24.704771
25.7,24.704771
25.8,24.728389
25.9,24.799244
26.0,24.822863
26.1,24.846481
26.2,24.893718
26.3,24.893718
26.4,24.917336
26.5,24.988191
26.6,25.011809
26.7,25.082664
26.8,25.106282
26.9,25.129901
27.0,25.153519
27.1,25.200756
27.2,25.247992
27.3,25.247992
27.4,25.271611
27.5,25.318847
27.6,25.389702
27.7,25.413321
27.8,25.413321
27.9,25.413321
28.0,25.413321
28.1,25.460557
28.2,25.484176
28.3,25.555031
28.4,25.602267
28.5,25.649504
28.6,25.649504
28.7,25.649504
28.8,25.649504
28.9,25.696741
29.0,25.696741
29.1,25.743977
29.2,25.767596
29.3,25.862069
29.4,25.909306
29.5,25.909306
29.6,25.956542
29.7,25.956542
29.8,25.980161
29.9,26.003779
30.0,26.003779
30.1,26.027397
30.2,26.121871
30.3,26.169107
30.4,26.192726
30.5,26.239962
30.6,26.239962
30.7,26.287199
30.8,26.310817
30.9,26.358054
31.0,26.358054
31.1,26.428909
31.2,26.476145
31.3,26.476145
31.4,26.547
31.5,26.547
31.6,26.570619
31.7,26.570619
31.8,26.617855
31.9,26.665092
32.0,26.68871
32.1,26.759565
32.2,26.783184
32.3,26.783184
32.4,26.806802
32.5,26.854039
32.6,26.901275
32.7,26.901275
32.8,26.97213
32.9,26.995749
33.0,27.042985
33.1,27.11384
33.2,27.11384
33.3,27.161077
33.4,27.208314
33.5,27.279169
33.6,27.279169
33.7,27.279169
33.8,27.279169
33.9,27.326405
34.0,27.350024
34.1,27.420879
34.2,27.468115
34.3,27.562589
34.4,27.633444
34.5,27.633444
34.6,27.633444
34.7,27.657062
34.8,27.704299
34.9,27.727917
35.0,27.798772
35.1,27.82239
35.2,27.846009
35.3,27.869627
35.4,27.893245
35.5,27.916863
35.6,27.940482
35.7,27.987718
35.8,28.034955
35.9,28.058573
36.0,28.082192
36.1,28.129428
36.2,28.176665
36.3,28.176665
36.4,28.24752
36.5,28.341993
36.6,28.365612
36.7,28.436467
36.8,28.436467
36.9,28.436467
37.0,28.460085
37.1,28.53094
37.2,28.578177
37.3,28.649032
37.4,28.719887
37.5,28.743505
37.6,28.81436
37.7,28.861597
37.8,28.861597
37.9,28.885215
38.0,28.908833
38.1,28.95607
38.2,28.95607
38.3,29.003307
38.4,29.026925
38.5,29.026925
38.6,29.026925
38.7,29.026925
38.8,29.026925
38.9,29.074162
39.0,29.09778
39.1,29.145017
39.2,29.168635
39.3,29.215872
39.4,29.23949
39.5,29.263108
39.6,29.263108
39.7,29.286726
39.8,29.286726
39.9,29.310345
40.0,29.333963
40.1,29.357581
40.2,29.3812
40.3,29.3812
40.4,29.3812
40.5,29.3812
40.6,29.452055
40.7,29.452055
40.8,29.452055
40.9,29.452055
41.0,29.452055
41.1,29.452055
41.2,29.452055
41.3,29.452055
41.4,29.52291
41.5,29.546528
41.6,29.546528
41.7,29.546528
41.8,29.593765
41.9,29.617383
42.0,29.66462
42.1,29.688238
42.2,29.711856
42.3,29.711856
42.4,29.711856
42.5,29.782711
42.6,29.80633
42.7,29.829948
42.8,29.900803
42.9,29.924421
43.0,29.924421
43.1,29.924421
43.2,29.995276
43.3,30.018895
43.4,30.042513
43.5,30.08975
43.6,30.113368
43.7,30.113368
43.8,30.160605
43.9,30.160605
44.0,30.184223
44.1,30.23146
44.2,30.278696
44.3,30.302315
44.4,30.325933
44.5,30.349551
44.6,30.37317
44.7,30.37317
44.8,30.420406
44.9,30.444025
45.0,30.491261
45.1,30.538498
45.2,30.562116
45.3,30.585735
45.4,30.609353
45.5,30.609353
45.6,30.65659
45.7,30.703826
45.8,30.703826
45.9,30.703826
46.0,30.703826
46.1,30.703826
46.2,30.703826
46.3,30.727444
46.4,30.774681
46.5,30.798299
46.6,30.821918
46.7,30.869154
46.8,30.869154
46.9,30.869154
47.0,30.892773
47.1,30.892773
47.2,30.892773
47.3,30.916391
47.4,30.916391
47.5,30.916391
47.6,30.940009
47.7,30.963628
47.8,30.963628
47.9,31.010864
48.0,31.010864
48.1,31.058101
48.2,31.058101
48.3,31.058101
48.4,31.058101
48.5,31.081719
48.6,31.152574
48.7,31.152574
48.8,31.199811
48.9,31.223429
49.0,31.270666
49.1,31.317903
49.2,31.317903
49.3,31.341521
49.4,31.365139
49.5,31.365139
49.6,31.365139
49.7,31.388758
49.8,31.412376
49.9,31.412376
50.0,31.459613
50.1,31.554086
50.2,31.601323
50.3,31.624941
50.4,31.672178
50.5,31.719414
50.6,31.743033
50.7,31.766651
50.8,31.766651
50.9,31.766651
51.0,31.790269
51.1,31.790269
51.2,31.908361
51.3,31.908361
51.4,31.955598
51.5,31.979216
51.6,32.050071
51.7,32.073689
51.8,32.073689
51.9,32.073689
52.0,32.097308
52.1,32.144544
52.2,32.191781
52.3,32.215399
52.4,32.262636
52.5,32.286254
52.6,32.286254
52.7,32.333491
52.8,32.333491
52.9,32.357109
53.0,32.357109
53.1,32.404346
53.2,32.404346
53.3,32.427964
53.4,32.451582
53.5,32.498819
53.6,32.498819
53.7,32.593292
53.8,32.640529
53.9,32.640529
54.0,32.640529
54.1,32.640529
