time_s,coverage_pct
0.1,6.274971
0.2,6.415981
0.3,6.53349
0.4,6.627497
0.5,6.792009
0.6,6.886016
0.7,6.956522
0.8,7.027027
0.9,7.121034
1.0,7.262045
1.1,7.450059
1.2,7.567568
1.3,7.685076
1.4,7.802585
1.5,7.967098
1.6,8.037603
1.7,8.13161
1.8,8.225617
1.9,8.366627
2.0,8.437133
2.1,8.53114
2.2,8.601645
2.3,8.789659
2.4,8.907168
2.5,9.001175
2.6,9.189189
2.7,9.283196
2.8,9.353702
2.9,9.400705
3.0,9.447709
3.1,9.518214
3.2,9.659224
3.3,9.753231
3.4,9.823737
3.5,9.917744
3.6,10.105758
3.7,10.176263
3.8,10.340776
3.9,10.434783
4.0,10.599295
4.1,10.763807
4.2,10.834313
4.3,10.998825
4.4,11.06933
4.5,11.210341
4.6,11.304348
4.7,11.398355
4.8,11.492362
4.9,11.609871
5.0,11.680376
5.1,11.750881
5.2,11.774383
5.3,11.891892
5.4,12.032902
5.5,12.103408
5.6,12.197415
5.7,12.291422
5.8,12.408931
5.9,12.408931
6.0,12.502938
6.1,12.526439
6.2,12.526439
6.3,12.596945
6.4,12.714454
6.5,12.761457
6.6,12.902468
6.7,13.043478
6.8,13.06698
6.9,13.160987
7.0,13.301998
7.1,13.349001
7.2,13.349001
7.3,13.513514
7.4,13.584019
7.5,13.654524
7.6,13.795535
7.7,13.913043
7.8,14.007051
7.9,14.030552
8.0,14.148061
8.1,14.195065
8.2,14.218566
8.3,14.336075
8.4,14.430082
8.5,14.500588
8.6,14.594595
8.7,14.618096
8.8,14.759107
8.9,14.782609
9.0,14.876616
9.1,14.947121
9.2,15.017626
9.3,15.06463
9.4,15.135135
9.5,15.299647
9.6,15.323149
9.7,15.417156
9.8,15.440658
9.9,15.487662
10.0,15.534665
10.1,15.675676
10.2,15.769683
10.3,15.816686
10.4,15.934195
10.5,16.051704
10.6,16.122209
10.7,16.169213
10.8,16.216216
10.9,16.357227
11.0,16.427732
11.1,16.521739
11.2,16.592244
11.3,16.686251
11.4,16.709753
11.5,16.827262
11.6,16.897767
11.7,17.06228
11.8,17.109283
11.9,17.226792
12.0,17.297297
12.1,17.414806
12.2,17.46181
12.3,17.532315
12.4,17.60282
12.5,17.696827
12.6,17.790834
12.7,17.978848
12.8,18.049354
12.9,18.096357
13.0,18.166863
13.1,18.237368
13.2,18.354877
13.3,18.40188
13.4,18.425382
13.5,18.542891
13.6,18.730905
13.7,18.824912
13.8,18.895417
13.9,18.942421
14.0,19.059929
14.1,19.20094
14.2,19.247944
14.3,19.294947
14.4,19.341951
14.5,19.412456
14.6,19.506463
14.7,19.60047
14.8,19.741481
14.9,19.858989
15.0,19.976498
15.1,20.047004
15.2,20.141011
15.3,20.164512
15.4,20.211516
15.5,20.282021
15.6,20.39953
15.7,20.470035
15.8,20.517039
15.9,20.611046
16.0,20.705053
16.1,20.775558
16.2,20.846063
16.3,20.869565
16.4,20.916569
16.5,20.987074
16.6,21.128085
16.7,21.19859
16.8,21.269095
16.9,21.3396
17.0,21.386604
17.1,21.504113
17.2,21.527615
17.3,21.527615
17.4,21.621622
17.5,21.715629
17.6,21.809636
17.7,21.856639
17.8,21.927145
17.9,22.021152
18.0,22.091657
18.1,22.13866
18.2,22.162162
18.3,22.185664
18.4,22.256169
18.5,22.279671
18.6,22.350176
18.7,22.491187
18.8,22.491187
18.9,22.585194
19.0,22.702703
19.1,22.79671
19.2,22.843713
19.3,22.867215
19.4,22.93772
19.5,23.008226
19.6,23.055229
19.7,23.149236
19.8,23.243243
19.9,23.313749
20.0,23.431257
20.1,23.478261
20.2,23.478261
20.3,23.548766
20.4,23.59577
20.5,23.713278
20.6,23.783784
20.7,23.877791
20.8,23.948296
20.9,24.042303
21.0,24.112808
21.1,24.183314
21.2,24.300823
21.3,24.300823
21.4,24.39483
21.5,24.465335
21.6,24.559342
21.7,24.629847
21.8,24.676851
21.9,24.747356
22.0,24.770858
22.1,24.911868
22.2,24.982374
22.3,25.005875
22.4,25.029377
22.5,25.146886
22.6,25.240893
22.7,25.240893
22.8,25.381904
22.9,25.405405
23.0,25.452409
23.1,25.59342
23.2,25.59342
23.3,25.687427
23.4,25.757932
23.5,25.804935
23.6,25.828437
23.7,25.898942
23.8,25.945946
23.9,26.039953
24.0,26.13396
24.1,26.180964
24.2,26.251469
24.3,26.251469
24.4,26.298472
24.5,26.321974
24.6,26.321974
24.7,26.392479
24.8,26.462985
24.9,26.486486
25.0,26.603995
25.1,26.627497
25.2,26.674501
25.3,26.698002
25.4,26.698002
25.5,26.768508
25.6,26.768508
25.7,26.815511
25.8,26.839013
25.9,26.909518
26.0,26.956522
26.1,27.050529
26.2,27.074031
26.3,27.097532
26.4,27.144536
26.5,27.144536
26.6,27.144536
26.7,27.191539
26.8,27.238543
26.9,27.309048
27.0,27.33255
27.1,27.33255
27.2,27.403055
27.3,27.403055
27.4,27.403055
27.5,27.426557
27.6,27.450059
