time_s,coverage_pct
0.1,6.453132
0.2,6.523787
0.3,6.782854
0.4,7.01837
0.5,7.15968
0.6,7.348092
0.7,7.512953
0.8,7.630711
0.9,7.724918
1.0,7.91333
1.1,8.05464
1.2,8.219501
1.3,8.337259
1.4,8.36081
1.5,8.407913
1.6,8.50212
1.7,8.596326
1.8,8.714084
1.9,8.878945
2.0,8.9496
2.1,9.138012
2.2,9.326425
2.3,9.444183
2.4,9.491286
2.5,9.514837
2.6,9.70325
2.7,9.797456
2.8,9.868111
2.9,10.056524
3.0,10.174282
3.1,10.221385
3.2,10.362694
3.3,10.362694
3.4,10.433349
3.5,10.504004
3.6,10.621762
3.7,10.73952
3.8,10.810174
3.9,10.951484
4.0,11.022138
4.1,11.04569
4.2,11.116345
4.3,11.210551
4.4,11.328309
4.5,11.49317
4.6,11.540273
4.7,11.610928
4.8,11.728686
4.9,11.799341
5.0,11.893547
5.1,11.94065
5.2,12.011305
5.3,12.081959
5.4,12.105511
5.5,12.199717
5.6,12.246821
5.7,12.38813
5.8,12.458785
5.9,12.552991
6.0,12.600094
6.1,12.670749
6.2,12.717852
6.3,12.812058
6.4,12.882713
6.5,12.953368
6.6,13.000471
6.7,13.071126
6.8,13.14178
6.9,13.259538
7.0,13.330193
7.1,13.330193
7.2,13.424399
7.3,13.447951
7.4,13.542157
7.5,13.636364
7.6,13.707018
7.7,13.777673
7.8,13.801225
7.9,13.871879
8.0,13.942534
8.1,14.013189
8.2,14.107395
8.3,14.154498
8.4,14.201602
8.5,14.272256
8.6,14.342911
8.7,14.413566
8.8,14.460669
8.9,14.48422
9.0,14.554875
9.1,14.578427
9.2,14.719736
9.3,14.766839
9.4,14.766839
9.5,14.861046
9.6,14.9317
9.7,14.978804
9.8,15.002355
9.9,15.049458
10.0,15.096561
10.1,15.167216
10.2,15.261423
10.3,15.284974
10.4,15.332077
10.5,15.402732
10.6,15.496938
10.7,15.52049
10.8,15.567593
10.9,15.638248
11.0,15.638248
11.1,15.661799
11.2,15.732454
11.3,15.803109
11.4,15.850212
11.5,15.873764
11.6,15.920867
11.7,16.015073
11.8,16.062176
11.9,16.156382
12.0,16.156382
12.1,16.227037
