time_s,mean_coverage_pct,std_coverage_pct
0.0,6.3829508,0.12119449242832796
10.0,15.9182252,0.7327831434396951
20.0,22.5180386,0.9610629775109643
30.0,26.600359200000003,1.6802271093441385
40.0,29.770422199999995,2.164618748867097
50.0,32.1418544,1.9290597450577411
60.0,34.8767254,1.7592508526745796
70.0,37.8861752,2.272299277437847
80.0,40.462766,2.7020320932241346
90.0,42.703209599999994,2.8515177259321822
100.0,44.7356794,2.7149526001211575
110.0,46.504534799999995,2.4439321810657013
120.0,48.378589,2.5740318571029395
130.0,50.799228600000006,2.784941061910403
140.0,53.2189696,3.0540731765458786
150.0,56.0187008,3.9017589844380915
160.0,58.394322599999995,4.805367927757482
170.0,59.856292800000006,4.998343482868716
180.0,61.6216514,4.9948338844182025
190.0,63.60785159999999,5.0818749849748395
200.0,64.967959,4.9309427333912925
210.0,67.1570664,4.655140194716312
220.0,69.4252724,4.326406982722251
230.0,71.4117068,4.216451069055418
240.0,72.871297,4.40027600866791
250.0,74.8321898,4.223084925411632
260.0,76.56048100000001,3.765494826525884
270.0,78.806568,4.1587584145591805
280.0,80.77921460000002,3.601188710489614
290.0,81.9182774,3.6071691314952568
300.0,83.1421934,4.077544381427656
310.0,83.76358380000002,4.2916447715973565
320.0,84.52198080000001,4.335032002663114
330.0,85.4060382,4.675676188468504
340.0,86.4028802,4.468816699788811
350.0,87.113192,4.4148474451344315
