allocator,label,num_uavs,seed,final_coverage,time_to_70,time_to_85,path_distance_total,trajectory_efficiency,mission_overlap_final,travel_time_fraction,exploration_time_fraction
debs,n10,10,42,0.5670760510155881,,,1777.2291821299764,3.1907874162630954,0.7333333333333333,0.7812656119900078,0.21873438800999223
debs,n10,10,43,0.6274140367404616,,,1779.6172183628073,3.5255561154755686,0.6,0.7805162364696079,0.21948376353039212
debs,n10,10,44,0.5252643948296122,,,1759.7270318426383,2.984919736554819,0.6666666666666666,0.7810158201498746,0.21898417985012542
debs,n20,20,42,0.8068020784128483,83.19999999999955,,3508.7143166533665,2.2994236794472944,0.6421052631578947,0.7825562031640306,0.21744379683596937
debs,n20,20,43,0.6834667922750824,,,3546.1253787321098,1.927362174992952,0.5368421052631579,0.782681099084097,0.217318900915903
debs,n20,20,44,0.6831962397179788,,,3518.959684119003,1.9414721993014874,0.7,0.7833055786844296,0.21669442131557037
greedy,n10,10,42,0.8901747756258857,71.30000000000022,104.29999999999835,1781.0706778513327,4.997975581181228,0.6666666666666666,0.9908409658617815,0.009159034138218503
greedy,n10,10,43,0.8523316062176166,84.19999999999949,119.39999999999749,1780.8807629597188,4.786011640673189,0.6666666666666666,0.9910074937552031,0.00899250624479686
greedy,n10,10,44,0.8406580493537015,78.6999999999998,,1783.5470417012118,4.713405532336571,0.6666666666666666,0.9899250624479593,0.010074937552040697
greedy,n20,20,42,0.9995276334435522,40.80000000000031,56.30000000000053,3553.9392549386694,2.8124499653576693,0.6736842105263158,0.9939633638634475,0.006036636136552476
greedy,n20,20,43,1.0,43.60000000000035,62.300000000000615,3542.717670602222,2.82269176654433,0.6736842105263158,0.991174021648627,0.008825978351372998
greedy,n20,20,44,1.0,51.20000000000046,66.20000000000051,3340.270846269182,2.993769206221468,0.6684210526315789,0.9244796003330561,0.0755203996669439
