time_s,mean_target_pairwise_dist,min_target_pairwise_dist,uavs_in_transit,num_uavs
0.0,26.267971576488325,0.24108470954092515,0,30
10.0,33.382893676527374,0.20428499204943137,30,30
20.0,44.925797598027856,0.3230565060707385,30,30
30.0,41.872803313978594,0.22467243802592435,30,30
40.0,27.961485098971483,0.20847886886553513,30,30
50.0,31.220384335487648,0.14481866456818332,30,30
60.0,47.36388393674611,0.024786262753500033,30,30
70.0,34.391241217076626,0.3508883089359806,30,30
80.0,52.63800424398268,0.2038515220644257,30,30
90.0,45.03613238218162,0.17374257351820668,30,30
100.0,30.807295881676474,0.15009515616033645,30,30
110.0,37.970583027342215,0.0926040433641865,30,30
120.0,52.90344465347536,0.31879661315497304,30,30
