time_s,mean_target_pairwise_dist,min_target_pairwise_dist,uavs_in_transit,num_uavs
0.0,26.267971576488325,0.24108470954092515,0,30
10.0,36.124315455205966,0.22850216341385127,30,30
20.0,46.123125772745595,0.1629012820519554,30,30
30.0,54.01901111829221,0.0902023276762038,29,30
40.0,51.228141582664726,0.18264587054674356,30,30
50.0,56.17536090078203,0.15307476250221946,30,30
60.0,37.11219202957067,0.4405408940330192,30,30
70.0,51.32510879746461,0.004903339452148714,30,30
80.0,56.62447540590435,0.3096731349812103,30,30
90.0,34.69626644723275,0.11493367322934561,30,30
100.0,38.94731905093635,0.20922674565077945,0,30
110.0,49.154682784335655,0.21596423711258303,0,30
120.0,43.174537977777405,0.13974938389133448,0,30
