time_s,explored_fraction,mean_target_separation,mission_overlap_fraction,frontier_reuse_frequency,target_reassignment_count,revisit_ratio,active_frontier_count,mean_speed,mean_pairwise_distance
0.1,0.10415682569674067,27.203763373768417,0.6827586206896552,0.0,30,0.4166666666666667,23,1.5,26.188595813320536
0.2,0.10604629192253189,27.203763373768417,0.6827586206896552,0.0,0,0.5444444444444444,22,1.5,26.18869813042098
0.30000000000000004,0.10722720831365139,27.203763373768417,0.6827586206896552,0.0,0,0.6416666666666667,22,1.5,26.188946872757928
0.4,0.1076995748700992,27.203763373768417,0.6827586206896552,0.0,0,0.6866666666666666,22,1.5,26.189841471454606
0.5,0.10911667453944261,27.203763373768417,0.6827586206896552,0.0,0,0.7277777777777777,22,1.5,26.19161759020519
0.6,0.10982522437411431,27.203763373768417,0.6827586206896552,0.0,0,0.7428571428571429,22,1.5,26.193059617013798
0.7,0.11100614076523382,27.203763373768417,0.6827586206896552,0.0,0,0.7541666666666667,22,1.5,26.194967124883092
0.7999999999999999,0.11195087387812942,27.203763373768417,0.6827586206896552,0.0,0,0.762962962962963,20,1.5,26.197966870718645
0.8999999999999999,0.11265942371280113,27.203763373768417,0.6827586206896552,0.0,0,0.7666666666666667,21,1.5,26.202054422226514
0.9999999999999999,0.11431270666036844,27.203763373768417,0.6827586206896552,0.0,0,0.7818181818181819,22,1.5,26.20737318872225
1.0999999999999999,0.11572980632971186,27.203763373768417,0.6827586206896552,0.0,0,0.7888888888888889,21,1.5,26.214131153485354
1.2,0.11643835616438356,27.203763373768417,0.6827586206896552,0.0,0,0.7974358974358975,19,1.5,26.22262133477862
1.3,0.11856400566839868,27.203763373768417,0.6827586206896552,0.0,0,0.7976190476190477,18,1.5,26.233446077448864
1.4000000000000001,0.12021728861596599,27.203763373768417,0.6827586206896552,0.0,0,0.8066666666666666,18,1.5,26.246979063918065
1.5000000000000002,0.1218705715635333,27.203763373768417,0.6827586206896552,0.0,0,0.8166666666666667,19,1.5,26.263276760236856
1.6000000000000003,0.12399622106754841,27.203763373768417,0.6827586206896552,0.0,0,0.8196078431372549,22,1.5,26.282199091375155
1.7000000000000004,0.12470477090222012,27.203763373768417,0.6827586206896552,0.0,0,0.8240740740740741,22,1.5,26.303386041792653
1.8000000000000005,0.12683042040623524,27.203763373768417,0.6827586206896552,0.0,0,0.8263157894736842,18,1.5,26.326610244127547
1.9000000000000006,0.12777515351913085,27.203763373768417,0.6827586206896552,0.0,0,0.8316666666666667,19,1.5,26.351831515000214
2.0000000000000004,0.12824752007557866,27.203763373768417,0.6827586206896552,0.0,0,0.8333333333333334,20,1.5,26.379005146457946
2.1000000000000005,0.13084553613604158,25.091091468348694,0.767816091954023,0.7666666666666667,30,0.8363636363636363,19,1.5,26.41131139943252
2.2000000000000006,0.13226263580538497,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8391304347826087,18,1.5,26.44849612776546
2.3000000000000007,0.1341521020311762,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8347222222222223,18,1.5,26.490223438690926
2.400000000000001,0.1353330184222957,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.836,23,1.5,26.53609467960602
2.500000000000001,0.136986301369863,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8397435897435898,23,1.5,26.585669195163174
2.600000000000001,0.13840340103920643,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8432098765432099,22,1.5,26.63847655837223
2.700000000000001,0.14076523382144543,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8416666666666667,24,1.5,26.69406283379567
2.800000000000001,0.14218233349078885,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8425287356321839,22,1.5,26.751825361521913
2.9000000000000012,0.14336324988190835,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8455555555555555,23,1.5,26.81094762704057
3.0000000000000013,0.14596126594237127,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.843010752688172,28,1.5,26.87077813328334
3.1000000000000014,0.1485592820028342,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.84375,26,1.5,26.930698742727227
3.2000000000000015,0.14974019839395372,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8464646464646465,24,1.5,26.990243163829625
3.3000000000000016,0.15257439773264053,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8490196078431372,20,1.5,27.04917368680432
3.4000000000000017,0.15328294756731223,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8504761904761905,19,1.5,27.106934946731506
3.5000000000000018,0.15422768068020784,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.85,18,1.5,27.162393613657454
3.600000000000002,0.15564478034955126,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8477477477477477,18,1.5,27.214861575358164
3.700000000000002,0.15729806329711857,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8508771929824561,20,1.5,27.26387002692222
3.800000000000002,0.158715162966462,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8521367521367521,21,1.5,27.30898126538823
3.900000000000002,0.16131317902692488,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8516666666666667,19,1.5,27.350251149558773
4.000000000000002,0.1627302786962683,25.091091468348694,0.767816091954023,0.7666666666666667,0,0.8544715447154472,20,1.5,27.387807794991094
4.100000000000001,0.1643835616438356,25.074132826431434,0.7379310344827587,0.7796610169491526,30,0.8539682539682539,16,1.5,27.423183178296117
4.200000000000001,0.16556447803495514,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.8534883720930233,16,1.5,27.45597956593978
4.300000000000001,0.16721776098252245,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.853030303030303,12,1.5,27.485863511277913
4.4,0.16863486065186584,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.8548148148148148,13,1.5,27.50801542834799
4.5,0.16981577704298537,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.8557971014492753,13,1.5,27.525417922549263
4.6,0.17170524326877656,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.8560283687943262,16,1.5,27.539162741412877
4.699999999999999,0.17335852621634387,25.074132826431434,0.7379310344827587,0.7796610169491526,0,0.8541666666666666,17,1.5,27.549695868422685
