label,n_seeds,metric,mean,std,n_reached,never_reached
n10,5,Coverage %,56.11937759585446,3.414984501639176,5,0
n10,5,Time-to-70% (s),,,0,5
n10,5,Time-to-85% (s),,,0,5
n10,5,Trajectory efficiency (m^2/m),3.1930084743790332,0.22182489945371933,5,0
n10,5,Mission overlap,0.6622222222222222,0.06501661705923463,5,0
n10,5,"Path distance (m, fleet total)",1758.6549363310576,22.307763642265186,5,0
n10,5,Travel-time fraction %,78.158201498751,0.08786615126245849,5,0
n10,5,Exploration-time fraction %,21.841798501249002,0.08786615126245768,5,0
n20,5,Coverage %,73.67732786460172,6.61247474345022,5,0
n20,5,Time-to-70% (s),92.67499999999902,13.108275058144777,4,1
n20,5,Time-to-85% (s),,,0,5
n20,5,Trajectory efficiency (m^2/m),2.085882365398297,0.18223517152363305,5,0
n20,5,Mission overlap,0.6410526315789473,0.06004615030295435,5,0
n20,5,"Path distance (m, fleet total)",3531.4178861457344,12.613288577969382,5,0
n20,5,Travel-time fraction %,78.27060782681102,0.054063890360511284,5,0
n20,5,Exploration-time fraction %,21.729392173188977,0.05406389036050868,5,0
n30,5,Coverage %,74.0977714120851,6.706855070626771,5,0
n30,5,Time-to-70% (s),92.2666666666657,10.16868832358483,3,2
n30,5,Time-to-85% (s),,,0,5
n30,5,Trajectory efficiency (m^2/m),1.4091053072986495,0.11948998159155748,5,0
n30,5,Mission overlap,0.6777011494252874,0.026627001812543016,5,0
n30,5,"Path distance (m, fleet total)",5256.016792808177,35.62825203233108,5,0
n30,5,Travel-time fraction %,78.31196225367754,0.03252863796608796,5,0
n30,5,Exploration-time fraction %,21.688037746322465,0.032528637966087924,5,0
